Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Sprint,Custom field (Story Points),Custom field (Story point estimate),Time Spent,Status,Due date,Parent,Parent key,Parent summary
Task,TTCN-600,13690,[BE] App điều phối an ninh - Chi tiết hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-599,13689,[BE] App điều phối an ninh - Danh sách hành trình xe & lọc,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-598,13688,[BE] App điều phối an ninh - Đăng nhập/đăng xuất,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-579,13668,[BE] Web app CSXC - Từ chối yêu cầu chỉnh sửa,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-578,13667,[BE] Web app CSXC - Tiếp nhận yêu cầu chỉnh sửa,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-577,13666,[BE] Web app CSXC - Chi tiết yêu cầu chỉnh sửa,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-576,13665,[BE] Web app CSXC - Bộ lọc danh sách yêu cầu chỉnh sửa,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-575,13664,[BE] Web app CSXC - Danh sách yêu cầu chỉnh sửa,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-574,13663,[BE] Web app CSKH - Tạo yêu cầu chỉnh sửa,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,2.0,10800,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-567,13656,[BE] Web app CSXC - Tạo dịch vụ lõi,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,3.0,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
